Date,UBS - BMO Accumulated Oriented Area
2022-07-01,0.004306176203559977
2022-07-02,0.004307270449772894
2022-07-03,0.004308364695985807
2022-07-04,0.004309458942198722
2022-07-05,0.00439244134831979
2022-07-06,0.004366054480314123
2022-07-07,0.004287676514726599
2022-07-08,0.0042812106600995286
2022-07-09,0.004282380558133859
2022-07-10,0.004283550456168192
2022-07-11,0.004321257351247598
2022-07-12,0.0043392577325152126
2022-07-13,0.0043896841782982724
2022-07-14,0.004547974960896124
2022-07-15,0.00452719016890737
2022-07-16,0.004528108176630997
2022-07-17,0.00452902618435462
2022-07-18,0.004479707613794906
2022-07-19,0.004379322820603933
2022-07-20,0.004356697506614423
2022-07-21,0.004339104859945772
2022-07-22,0.004353672282194652
2022-07-23,0.004354670185846932
2022-07-24,0.004355668089499216
2022-07-25,0.004305397845123049
2022-07-26,0.004360985790924298
2022-07-27,0.004277996804184066
2022-07-28,0.00425069368428238
2022-07-29,0.0042026347232999
2022-07-30,0.004203910925270158
2022-07-31,0.004205187127240413
2022-08-01,0.00427796056568962
2022-08-02,0.004312550893861437
2022-08-03,0.004264501126442706
2022-08-04,0.004277569567047641
2022-08-05,0.004274825659399226
2022-08-06,0.00427600988777542
2022-08-07,0.004277194116151617
2022-08-08,0.004260094740648599
2022-08-09,0.004293911021263391
2022-08-10,0.004196945497380686
2022-08-11,0.004163655039307472
2022-08-12,0.004098043577809306
2022-08-13,0.004099251621752958
2022-08-14,0.004100459665696609
2022-08-15,0.004127964228147949
2022-08-16,0.00407432219142033
2022-08-17,0.004115525604677999
2022-08-18,0.004096973212738978
2022-08-19,0.0041879027289418915
2022-08-20,0.0041892964742317315
2022-08-21,0.004190690219521577
2022-08-22,0.004278396558252556
2022-08-23,0.004278187005174685
2022-08-24,0.004347580316887549
2022-08-25,0.004320890018659025
2022-08-26,0.0044000041235513895
