Date,MS - HDB Accumulated Oriented Area
2021-04-11,0.001313591593774351
2021-04-12,0.0011947507445573746
2021-04-13,0.001217562540347451
2021-04-14,0.0012256944354903025
2021-04-15,0.00125335062747659
2021-04-16,0.0013208737789187305
2021-04-17,0.001321909280668188
2021-04-18,0.001322944782417642
2021-04-19,0.0012006348829104734
2021-04-20,0.0012638792974386194
2021-04-21,0.0012229191345941963
2021-04-22,0.0012631111775793658
2021-04-23,0.0012099603653941725
2021-04-24,0.0012107242004668257
2021-04-25,0.001211488035539479
2021-04-26,0.0012467094515912264
2021-04-27,0.001264359393990321
2021-04-28,0.0013050280818351126
2021-04-29,0.0012473515692708935
2021-04-30,0.0011883768645872825
2021-05-01,0.0011891881675528898
2021-05-02,0.0011899994705184954
2021-05-03,0.001178101032760074
2021-05-04,0.0011569323918784818
2021-05-05,0.0011394520289353274
2021-05-06,0.001115326686740481
2021-05-07,0.0011282354714168858
2021-05-08,0.001129048834469242
2021-05-09,0.001129862197521596
2021-05-10,0.001086390037041132
2021-05-11,0.0011073047647700762
2021-05-12,0.0011070657840110806
2021-05-13,0.0011194207933609792
2021-05-14,0.0010892042818622435
2021-05-15,0.001089902253339591
2021-05-16,0.001090600224816939
