Date,UBS - PNC Accumulated Oriented Area
2021-01-20,0.0013896702670710243
2021-01-21,0.0014198914907720117
2021-01-22,0.0014384867680038763
2021-01-23,0.001439409635134297
2021-01-24,0.001440332502264718
2021-01-25,0.0015029326894369461
2021-01-26,0.001496606432451481
2021-01-27,0.001569188309695849
2021-01-28,0.001491660802999201
2021-01-29,0.0015941049694965265
2021-01-30,0.0015947838812963193
2021-01-31,0.001595462793096112
2021-02-01,0.0015475863868825955
2021-02-02,0.001475222872128957
2021-02-03,0.0014465665418498324
2021-02-04,0.0013941530447191559
2021-02-05,0.0013976199361191554
2021-02-06,0.001398682666772827
2021-02-07,0.001399745397426497
2021-02-08,0.0013278611971855345
2021-02-09,0.0013345142288884156
2021-02-10,0.001306646107354825
2021-02-11,0.001332912302824897
2021-02-12,0.0012940477749285564
2021-02-13,0.0012952152066367684
2021-02-14,0.0012963826383449806
2021-02-15,0.0012975500700531935
2021-02-16,0.0011668446559962434
2021-02-17,0.0012270986405358434
2021-02-18,0.0012779313778422782
2021-02-19,0.0012238170894393772
2021-02-20,0.0012252225577823518
2021-02-21,0.0012266280261253252
2021-02-22,0.001186800394179483
2021-02-23,0.0011939026609631355
2021-02-24,0.0010878065417858102
2021-02-25,0.001153172681429128
2021-02-26,0.0012425885902526178
2021-02-27,0.0012439308883256672
2021-02-28,0.0012452731863987166
2021-03-01,0.0011579721923383483
2021-03-02,0.0011251409780724546
2021-03-03,0.001163339814297081
2021-03-04,0.0012499780527610177
2021-03-05,0.0011728456201443923
2021-03-06,0.001174417316600982
2021-03-07,0.001175989013057572
2021-03-08,0.0011498949934743007
2021-03-09,0.0012082204654646144
2021-03-10,0.001164574978608682
2021-03-11,0.0012243501505087892
2021-03-12,0.0011852882142280943
2021-03-13,0.0011870303276938399
2021-03-14,0.001188772441159585
2021-03-15,0.0012259241413695911
2021-03-16,0.0012185743883737581
2021-03-17,0.001152935456583748
2021-03-18,0.001084396663476037
2021-03-19,0.0011063486405230116
2021-03-20,0.0011078437206245035
2021-03-21,0.0011093388007259962
2021-03-22,0.0011224483012077164
2021-03-23,0.0012075439080873594
2021-03-24,0.0011898035638766551
2021-03-25,0.001092331367782775
2021-03-26,0.0010832320803264579
2021-03-27,0.0010848400006092224
2021-03-28,0.0010864479208919874
2021-03-29,0.001221295445766608
2021-03-30,0.001195757082335776
2021-03-31,0.0012305274326217615
2021-04-01,0.0011480864309165633
2021-04-02,0.0011496547563693913
2021-04-03,0.0011512230818222194
2021-04-04,0.0011527914072750488
2021-04-05,0.00111053633879499
2021-04-06,0.0010721131337321748
2021-04-07,0.0010713712054936657
2021-04-08,0.0010801203646186182
2021-04-09,0.0010682726504340134
2021-04-10,0.001069873649681603
2021-04-11,0.0010714746489291944
2021-04-12,0.0010766024141178649
2021-04-13,0.0012184759909673263
2021-04-14,0.0011733644263022653
2021-04-15,0.0011931595717591648
2021-04-16,0.001115080484610425
2021-04-17,0.0011166547494471935
2021-04-18,0.001118229014283962
2021-04-19,0.0011640258820070641
2021-04-20,0.0012881024106134783
2021-04-21,0.0012805260381454765
2021-04-22,0.0013511704312383866
2021-04-23,0.0012792384124156986
2021-04-24,0.001280900166819062
2021-04-25,0.001282561921222424
2021-04-26,0.001251296413465397
2021-04-27,0.0012589277560243188
2021-04-28,0.0011612492861099947
2021-04-29,0.0011195834186826365
2021-04-30,0.001222315584717059
2021-05-01,0.0012242380907676964
2021-05-02,0.0012261605968183341
2021-05-03,0.0011980062148096748
2021-05-04,0.0012497963944320086
2021-05-05,0.0011309770105948876
2021-05-06,0.0010115738551387248
2021-05-07,0.0009650449790955234
2021-05-08,0.000967217453549499
2021-05-09,0.0009693899280034729
2021-05-10,0.0010896424698276144
2021-05-11,0.0012340471285827226
2021-05-12,0.0013200971790920835
2021-05-13,0.0011709527531692182
2021-05-14,0.001073656124458644
2021-05-15,0.001075885425839725
2021-05-16,0.0010781147272208062
2021-05-17,0.0010550650435542644
2021-05-18,0.0011164174386474274
2021-05-19,0.0011304622870950342
2021-05-20,0.001083675755380585
2021-05-21,0.001033380189298818
2021-05-22,0.0010353982675282353
2021-05-23,0.0010374163457576519
2021-05-24,0.0010046610735458905
2021-05-25,0.001020136615663216
2021-05-26,0.0010370252862802853
2021-05-27,0.0009412077251297335
2021-05-28,0.0009010214890731332
2021-05-29,0.0009030021635979125
2021-05-30,0.0009049828381226897
2021-05-31,0.000906963512647469
2021-06-01,0.0008694070975066299
2021-06-02,0.0008902740117801855
2021-06-03,0.0008647299049556632
2021-06-04,0.0008902111435008092
2021-06-05,0.0008921598758643812
2021-06-06,0.0008941086082279541
2021-06-07,0.0009008398095004574
2021-06-08,0.0009027893407234837
2021-06-09,0.0009724376707015787
2021-06-10,0.0010110173757565727
