Date,UBS - IBN Accumulated Oriented Area
2020-10-22,0.005802812629252039
2020-10-23,0.005758129577363509
2020-10-24,0.005758788464432559
2020-10-25,0.005759447351501607
2020-10-26,0.005892167399954061
2020-10-27,0.005740681914651017
2020-10-28,0.005803345651541114
2020-10-29,0.005747392706451748
2020-10-30,0.005857763586041989
2020-10-31,0.005858440826821205
2020-11-01,0.00585911806760042
2020-11-02,0.005491259923975289
2020-11-03,0.005592172634373139
2020-11-04,0.005535464119367043
2020-11-05,0.005623405382631216
2020-11-06,0.005634156755018585
2020-11-07,0.005634741669685226
2020-11-08,0.005635326584351867
2020-11-09,0.00538957771769491
2020-11-10,0.005455820235455455
2020-11-11,0.00546274947671881
2020-11-12,0.00550820927142372
2020-11-13,0.005472833640174649
2020-11-14,0.005473541624419737
2020-11-15,0.005474249608664824
2020-11-16,0.005512922479307044
2020-11-17,0.0055501620738949865
2020-11-18,0.005539368161921485
2020-11-19,0.0056160580259469305
2020-11-20,0.005620166853983849
2020-11-21,0.005620294858095728
2020-11-22,0.005620422862207606
2020-11-23,0.0056695148498500676
2020-11-24,0.0056484064887666365
2020-11-25,0.005653092891131506
2020-11-26,0.005653124287192837
2020-11-27,0.005640528974713263
2020-11-28,0.005640602504531789
2020-11-29,0.005640676034350315
2020-11-30,0.005586924612921564
2020-12-01,0.005557337488504529
2020-12-02,0.005582701062042243
2020-12-03,0.005593680800778931
2020-12-04,0.005478047597573772
2020-12-05,0.005478578258406362
2020-12-06,0.0054791089192389505
2020-12-07,0.00546414831372063
2020-12-08,0.005472831509318385
2020-12-09,0.005458527294761017
2020-12-10,0.005437455620277518
2020-12-11,0.00537983659933162
2020-12-12,0.005380786033350918
2020-12-13,0.005381735467370217
2020-12-14,0.005343177396873386
2020-12-15,0.005368934291236747
2020-12-16,0.005389114160616231
2020-12-17,0.005395944570503519
2020-12-18,0.005383810077649425
2020-12-19,0.005384705793596136
2020-12-20,0.005385601509542848
2020-12-21,0.005444284374186833
2020-12-22,0.005431787950555401
2020-12-23,0.005449791875538242
2020-12-24,0.0054209983767270105
2020-12-25,0.005421829490245455
2020-12-26,0.005422660603763898
2020-12-27,0.005423491717282342
2020-12-28,0.0053728754023799575
2020-12-29,0.005319606578254282
2020-12-30,0.005298081304214712
2020-12-31,0.005266482810379405
2021-01-01,0.005267657230099344
2021-01-02,0.005268831649819283
2021-01-03,0.005270006069539223
2021-01-04,0.005358850480466477
2021-01-05,0.00532544657851317
2021-01-06,0.005303237729081633
2021-01-07,0.005349765301563442
2021-01-08,0.005329149165472563
2021-01-09,0.005329681692237744
2021-01-10,0.005330214219002927
2021-01-11,0.00533892535685331
2021-01-12,0.005311155799762946
2021-01-13,0.005296244637525877
2021-01-14,0.005316928087813773
2021-01-15,0.005331006215865927
2021-01-16,0.005331626878240738
2021-01-17,0.005332247540615551
2021-01-18,0.005332868202990362
2021-01-19,0.005307863698718087
2021-01-20,0.005279772936054508
2021-01-21,0.005279985531204203
2021-01-22,0.005324632602392601
2021-01-23,0.005325399533602841
2021-01-24,0.0053261664648130815
2021-01-25,0.005328884791916514
2021-01-26,0.005348604333483113
2021-01-27,0.00539788765889773
2021-01-28,0.005357123119574729
2021-01-29,0.005291325161044243
2021-01-30,0.005292440604532522
2021-01-31,0.0052935560480208005
2021-02-01,0.0049985609894010845
2021-02-02,0.004939327689155788
2021-02-03,0.004945125675772611
2021-02-04,0.004930328342201114
2021-02-05,0.004911412675395444
2021-02-06,0.00491315702254517
2021-02-07,0.0049149013696948955
2021-02-08,0.004864642287969491
2021-02-09,0.004859660288138549
2021-02-10,0.004861837329205587
2021-02-11,0.004881749292261017
2021-02-12,0.004820899618943172
2021-02-13,0.004822562975862268
2021-02-14,0.004824226332781363
2021-02-15,0.004825889689700458
2021-02-16,0.004768608214405982
2021-02-17,0.004810099561786415
2021-02-18,0.00487090238735664
2021-02-19,0.004876566758451285
2021-02-20,0.004877909482499368
2021-02-21,0.004879252206547451
2021-02-22,0.004903343110660896
2021-02-23,0.004886583740876446
2021-02-24,0.004827967905297895
2021-02-25,0.00487682177678747
2021-02-26,0.004938560547181345
2021-02-27,0.004939613719343385
2021-02-28,0.004940666891505425
2021-03-01,0.004902986571659027
2021-03-02,0.004902875740283559
2021-03-03,0.004890948793280652
2021-03-04,0.004930399757282972
2021-03-05,0.004920478000315624
2021-03-06,0.004921600743330678
2021-03-07,0.004922723486345733
2021-03-08,0.004937728453088389
2021-03-09,0.004893518523558074
2021-03-10,0.004898220756622518
2021-03-11,0.004897302343667087
2021-03-12,0.004959534267155403
2021-03-13,0.004960710146816251
2021-03-14,0.004961886026477099
2021-03-15,0.0049815191490521155
2021-03-16,0.004975616960097064
2021-03-17,0.005001170333208793
2021-03-18,0.005048017530083108
2021-03-19,0.005027148232026717
2021-03-20,0.005027748164548544
2021-03-21,0.005028348097070371
2021-03-22,0.0050483881149357085
2021-03-23,0.005037256302107969
2021-03-24,0.005068962666150612
2021-03-25,0.005054072441049933
2021-03-26,0.005031682458766544
2021-03-27,0.005032304172054112
2021-03-28,0.005032925885341682
2021-03-29,0.005046953559352809
2021-03-30,0.005028992263184502
2021-03-31,0.005045696977577853
2021-04-01,0.005034548220761036
2021-04-02,0.005035262877362525
2021-04-03,0.005035977533964014
2021-04-04,0.005036692190565502
2021-04-05,0.005074747942454822
2021-04-06,0.005113269019322502
2021-04-07,0.005105035720873974
2021-04-08,0.005115239474045761
2021-04-09,0.0051206275994035546
2021-04-10,0.005120814768762777
2021-04-11,0.0051210019381219985
2021-04-12,0.005197621739927812
2021-04-13,0.0050997187449713256
2021-04-14,0.005105348118098947
2021-04-15,0.005051018767094826
2021-04-16,0.005083292085229844
2021-04-17,0.005083466281886023
2021-04-18,0.005083640478542202
2021-04-19,0.005092573861414467
2021-04-20,0.005088632405482626
2021-04-21,0.005061621732652685
2021-04-22,0.0049849882444604875
2021-04-23,0.004991387794997559
2021-04-24,0.004991939366054305
2021-04-25,0.004992490937111049
2021-04-26,0.004879637167014049
2021-04-27,0.004847090757256823
2021-04-28,0.00477237577237592
2021-04-29,0.004773238437606405
2021-04-30,0.004829756199343287
2021-05-01,0.004830821570607898
2021-05-02,0.004831886941872508
2021-05-03,0.004830681146485543
2021-05-04,0.004872198176670823
2021-05-05,0.004835996929089876
2021-05-06,0.004798982350859376
2021-05-07,0.004798485243938839
2021-05-08,0.004799407981192685
2021-05-09,0.00480033071844653
2021-05-10,0.004800133939440683
2021-05-11,0.004811766761516672
2021-05-12,0.004909706984215543
2021-05-13,0.004889076037243401
2021-05-14,0.004845366623524413
2021-05-15,0.004846410134390952
2021-05-16,0.0048474536452574905
2021-05-17,0.00478626267751924
2021-05-18,0.004772725326349184
2021-05-19,0.004766943471811805
2021-05-20,0.004765540775292244
2021-05-21,0.004719348947743158
2021-05-22,0.004720585956699905
2021-05-23,0.004721822965656653
2021-05-24,0.004704445072616693
2021-05-25,0.0047154591608264
2021-05-26,0.004691387796500299
2021-05-27,0.004655971913041569
2021-05-28,0.004660244124100973
2021-05-29,0.004661339790640905
2021-05-30,0.004662435457180837
2021-05-31,0.00466353112372077
2021-06-01,0.004662153573860746
2021-06-02,0.004667037389209318
2021-06-03,0.004669767549442423
2021-06-04,0.004667743809021082
2021-06-05,0.004668757922303241
