Date,IBKR - HDB Accumulated Oriented Area
2020-10-12,0.0017894871300392226
2020-10-13,0.0017870725881919908
2020-10-14,0.0017295884259291348
2020-10-15,0.0018083550633980834
2020-10-16,0.0017687808058122127
2020-10-17,0.0017692757921452342
2020-10-18,0.0017697707784782523
2020-10-19,0.001664659470747171
2020-10-20,0.001554677397893255
2020-10-21,0.0014960527214921758
2020-10-22,0.0014778389686775438
2020-10-23,0.0014585483671571333
2020-10-24,0.0014594539172269206
2020-10-25,0.0014603594672967079
2020-10-26,0.0015436143527334356
2020-10-27,0.0015119945379897123
2020-10-28,0.0016185991720227806
2020-10-29,0.0016999899531988914
2020-10-30,0.0017142735406067023
2020-10-31,0.0017150253254010494
2020-11-01,0.0017157771101954007
2020-11-02,0.0015822745402806464
2020-11-03,0.0014858752339294726
2020-11-04,0.0013972379809014627
2020-11-05,0.0013113383129719563
2020-11-06,0.0012473604756370765
2020-11-07,0.0012485410968126331
2020-11-08,0.0012497217179881874
2020-11-09,0.00099503051095917
2020-11-10,0.000896195888992791
2020-11-11,0.0009209708216801526
2020-11-12,0.0009061797337632079
2020-11-13,0.0007608595982403075
2020-11-14,0.0007621522855435382
2020-11-15,0.000763444972846767
2020-11-16,0.0006779622056935623
2020-11-17,0.0006545170252777494
2020-11-18,0.0008363165495878635
2020-11-19,0.0008386697547518196
2020-11-20,0.0008622040206728332
2020-11-21,0.0008634199827325263
2020-11-22,0.0008646359447922204
2020-11-23,0.0008737289755366667
2020-11-24,0.0007164500316874545
2020-11-25,0.0007942309443529898
2020-11-26,0.0007955846863315533
2020-11-27,0.0007492863092717033
2020-11-28,0.0007505493868458092
2020-11-29,0.0007518124644199121
2020-11-30,0.0007590671389370707
2020-12-01,0.0006386163584520016
2020-12-02,0.0006187415498073702
2020-12-03,0.0006974889330783987
2020-12-04,0.0007066953235358583
2020-12-05,0.0007078953325257993
2020-12-06,0.0007090953415157426
2020-12-07,0.0007849849711662406
2020-12-08,0.0007557965451554075
2020-12-09,0.00068889583592008
2020-12-10,0.0006803178495192816
2020-12-11,0.0007446673840322093
2020-12-12,0.0007458131234216222
2020-12-13,0.0007469588628110327
2020-12-14,0.0007820712469785612
2020-12-15,0.0005954404555182542
2020-12-16,0.0005158633785262667
2020-12-17,0.000395216332186325
2020-12-18,0.000443857008158213
2020-12-19,0.00044510056794932616
2020-12-20,0.0004463441277404394
2020-12-21,0.0005164590536506585
2020-12-22,0.00045350940261699795
2020-12-23,0.00042242930211047866
2020-12-24,0.0004037394865620815
2020-12-25,0.0004048481172260251
2020-12-26,0.0004059567478899677
2020-12-27,0.0004070653785539114
2020-12-28,0.00033268240353329635
2020-12-29,0.0003668892949282613
2020-12-30,0.0004126282133392441
2020-12-31,0.00036566697910083855
2021-01-01,0.0003669669072215901
2021-01-02,0.00036826683534234165
2021-01-03,0.0003695667634630918
2021-01-04,0.00040364228615142174
2021-01-05,0.00028713024938381755
2021-01-06,0.00012193689456888425
2021-01-07,2.274896767007087e-05
2021-01-08,-3.9800557457379945e-06
2021-01-09,-2.9499139118547516e-06
2021-01-10,-1.9197720779719424e-06
2021-01-11,5.062040696738918e-05
2021-01-12,2.9337562956078503e-05
2021-01-13,2.302330679087054e-05
2021-01-14,7.536771314647288e-05
2021-01-15,5.677183363958071e-05
2021-01-16,5.795948989865084e-05
2021-01-17,5.9147146157724224e-05
2021-01-18,6.033480241679457e-05
2021-01-19,2.5167295212109408e-05
2021-01-20,0.00011523315901609745
2021-01-21,5.791397195020558e-05
2021-01-22,7.594654911623297e-05
2021-01-23,7.709887411947868e-05
2021-01-24,7.825119912272774e-05
2021-01-25,0.00014907352177223132
2021-01-26,0.00023395017172232312
2021-01-27,0.0004047916342365288
2021-01-28,0.00033997501582081824
2021-01-29,0.00045565729489783645
2021-01-30,0.0004569363826555828
2021-01-31,0.0004582154704133274
