Date,UBS - HDB Accumulated Oriented Area
2021-06-06,0.0013544211150712392
2021-06-07,0.0013549399611425365
2021-06-08,0.0013614433365347187
2021-06-09,0.001404727650634486
2021-06-10,0.0014306755013676045
2021-06-11,0.0014121564149321554
2021-06-12,0.0014141104608108295
2021-06-13,0.001416064506689505
2021-06-14,0.001427774082217407
2021-06-15,0.0013890220120895726
2021-06-16,0.001490040158519044
2021-06-17,0.0015684513162397278
2021-06-18,0.0016560308985428315
2021-06-19,0.0016578401946880776
2021-06-20,0.001659649490833322
2021-06-21,0.0016200774519202492
2021-06-22,0.0016773328817897212
2021-06-23,0.001674962013825475
2021-06-24,0.0016260538925017554
2021-06-25,0.0016180399420000916
2021-06-26,0.0016198649151325697
2021-06-27,0.0016216898882650478
2021-06-28,0.0016711592412083955
2021-06-29,0.0017047065945171465
2021-06-30,0.001763479051390961
2021-07-01,0.001765849385671417
2021-07-02,0.0017513614513523425
2021-07-03,0.001753077014181459
2021-07-04,0.001754792577010576
2021-07-05,0.0017565081398396945
2021-07-06,0.001761088446062425
2021-07-07,0.001797583110596865
2021-07-08,0.001930826175616486
2021-07-09,0.0018553763645670204
2021-07-10,0.001857197589258969
2021-07-11,0.001859018813950915
2021-07-12,0.0018454538424683847
2021-07-13,0.0018643552581538783
2021-07-14,0.0018196325052861327
2021-07-15,0.0017966370706980139
2021-07-16,0.0018546551242752916
2021-07-17,0.0018565880897055916
2021-07-18,0.0018585210551358951
2021-07-19,0.0021843053109232
2021-07-20,0.0020625424131860428
2021-07-21,0.001943937333084372
2021-07-22,0.0019857775651813308
2021-07-23,0.0019403946317509669
2021-07-24,0.0019417267806236178
2021-07-25,0.001943058929496267
2021-07-26,0.0018846891649537483
2021-07-27,0.001901862020349664
2021-07-28,0.0018937600361131207
2021-07-29,0.00181504904485139
2021-07-30,0.0018383063924036608
2021-07-31,0.0018396178829377448
2021-08-01,0.0018409293734718275
2021-08-02,0.0018285614010956383
2021-08-03,0.0017727513400102805
2021-08-04,0.0017665671526146264
2021-08-05,0.0017330973637053027
2021-08-06,0.0017007576946090233
2021-08-07,0.0017023114986833257
2021-08-08,0.0017038653027576292
2021-08-09,0.0016907469938458198
2021-08-10,0.0016736061405256
2021-08-11,0.0016502800400473318
2021-08-12,0.0016528298590508248
2021-08-13,0.0016189615494232735
2021-08-14,0.0016207079597883693
2021-08-15,0.001622454370153464
2021-08-16,0.0016557935199170396
2021-08-17,0.0016820834056665546
2021-08-18,0.0017293436625945807
2021-08-19,0.0017691685697760493
2021-08-20,0.0017323781573328856
2021-08-21,0.0017342126875072115
2021-08-22,0.0017360472176815383
2021-08-23,0.0016984833454282853
2021-08-24,0.0016670139357778224
2021-08-25,0.0016137123997695835
2021-08-26,0.0017058429176845897
2021-08-27,0.001652593160888548
2021-08-28,0.0016544851623228175
2021-08-29,0.0016563771637570902
2021-08-30,0.0017120874206715377
2021-08-31,0.001713440061161451
2021-09-01,0.0016807545096201473
2021-09-02,0.0016974734097226177
2021-09-03,0.0017352237085829733
2021-09-04,0.001737032984708666
2021-09-05,0.0017388422608343571
2021-09-06,0.0017406515369600482
2021-09-07,0.0017350318982367343
2021-09-08,0.0017765214843035798
2021-09-09,0.0018182903048411217
2021-09-10,0.0018226512868350468
2021-09-11,0.0018243879502284547
2021-09-12,0.0018261246136218646
2021-09-13,0.0017921795936902771
2021-09-14,0.0018535242053686896
2021-09-15,0.0018375994561775993
2021-09-16,0.0018042472256592325
2021-09-17,0.0018970039238230092
2021-09-18,0.0018986552265704997
2021-09-19,0.0019003065293179884
2021-09-20,0.0021520377245664193
2021-09-21,0.00219053155749273
2021-09-22,0.002118188436404138
2021-09-23,0.0020359849617058176
2021-09-24,0.002033018513439848
2021-09-25,0.0020347035023736445
2021-09-26,0.002036388491307441
2021-09-27,0.0019554572901344593
2021-09-28,0.002073733082294255
2021-09-29,0.0019999859498225346
2021-09-30,0.002045525502902968
2021-10-01,0.0020272497032481
2021-10-02,0.002028930382287906
2021-10-03,0.002030611061327713
2021-10-04,0.0020630278079627994
2021-10-05,0.002004875289455025
2021-10-06,0.002024619570714783
2021-10-07,0.0019457255594063393
2021-10-08,0.0019216810279352361
2021-10-09,0.001923150452853691
2021-10-10,0.0019246198777721445
2021-10-11,0.0019376109697987298
2021-10-12,0.0019019593611427133
2021-10-13,0.0018833537620914324
2021-10-14,0.0017693558628732392
2021-10-15,0.0017420230586923297
2021-10-16,0.0017436750123446634
2021-10-17,0.0017453269659969957
2021-10-18,0.001752040854353434
