Date,UBS - MBFJF Accumulated Oriented Area
2022-10-01,0.005068350785530086
2022-10-02,0.0050678021548403234
2022-10-03,0.005658851800330229
2022-10-04,0.006083802212463845
2022-10-05,0.005903063220069486
2022-10-06,0.005641203659979145
2022-10-07,0.00559487290139447
2022-10-08,0.005593796164754474
2022-10-09,0.0055927194281144765
2022-10-10,0.005511166482315992
2022-10-11,0.005387099185475846
2022-10-12,0.005498479342846692
2022-10-13,0.005839575384774537
2022-10-14,0.005593213039036046
2022-10-15,0.005592058957058793
2022-10-16,0.005590904875081537
2022-10-17,0.005795718060363674
2022-10-18,0.005759165668693251
2022-10-19,0.0056189029070343255
2022-10-20,0.005442397196622649
2022-10-21,0.00552442650624983
2022-10-22,0.005523498693599754
2022-10-23,0.005522570880949677
2022-10-24,0.0056882989022865125
2022-10-25,0.0059713042134139005
2022-10-26,0.005878454935714629
2022-10-27,0.005798563551591933
2022-10-28,0.005872846581851339
