Date,UBS - WFC Accumulated Oriented Area
2023-01-11,0.003876661875857813
2023-01-12,0.003891010608741051
2023-01-13,0.0038714882879948855
2023-01-14,0.003871057725653045
2023-01-15,0.003870627163311204
2023-01-16,0.003870196600969364
2023-01-17,0.003895443685083593
2023-01-18,0.003910594107715861
2023-01-19,0.0038978370875125713
2023-01-20,0.0038914556057524736
2023-01-21,0.0038909898745263637
2023-01-22,0.003890524143300253
2023-01-23,0.0038780861893001482
2023-01-24,0.003884983838901778
2023-01-25,0.0038785553348521296
2023-01-26,0.0038855657959543104
2023-01-27,0.0038735650495222177
2023-01-28,0.003873299489677706
2023-01-29,0.0038730339298331936
2023-01-30,0.003865310485732461
2023-01-31,0.003862770541104802
2023-02-01,0.003863217316936675
2023-02-02,0.003863793861061907
2023-02-03,0.0038604786222975938
2023-02-04,0.0038603392772055037
2023-02-05,0.0038601999321134137
2023-02-06,0.003853812748622943
2023-02-07,0.003852770207344201
2023-02-08,0.0038507424253081076
2023-02-09,0.003858463927440941
2023-02-10,0.003857111983225078
2023-02-11,0.003856968456955236
2023-02-12,0.0038568249306853947
2023-02-13,0.0038550131796888255
2023-02-14,0.003854608700530393
2023-02-15,0.003857656080546301
2023-02-16,0.003860709397701289
2023-02-17,0.0038584864390241685
2023-02-18,0.0038583352258933297
2023-02-19,0.003858184012762491
2023-02-20,0.0038580327996316525
2023-02-21,0.0038643967589115126
2023-02-22,0.003858641669888243
2023-02-23,0.0038609212359231983
2023-02-24,0.0038489558157046013
2023-02-25,0.003848735918926793
2023-02-26,0.0038485160221489838
2023-02-27,0.0038550536951418974
2023-02-28,0.00385629073057693
2023-03-01,0.003852517286947162
2023-03-02,0.0038596607542940565
2023-03-03,0.0038682154993473217
2023-03-04,0.0038680045334590785
2023-03-05,0.0038677935675708367
2023-03-06,0.0038703800805840716
